"Word","Freq","percent"
"rude",13,2.97482837528604
"wed",1,0.22883295194508
"angel",17,3.89016018306636
"gross",4,0.91533180778032
"babi",4,0.91533180778032
"bulli",8,1.83066361556064
"children",5,1.1441647597254
"lone",1,0.22883295194508
"humili",25,5.720823798627
"bad",14,3.20366132723112
"ruin",6,1.37299771167048
"fresh",4,0.91533180778032
"nice",10,2.2883295194508
"color",1,0.22883295194508
"grayscal",1,0.22883295194508
"insult",9,2.05949656750572
"premarit",1,0.22883295194508
"blameless",1,0.22883295194508
"embarrass",9,2.05949656750572
"spotless",1,0.22883295194508
"prude",4,0.91533180778032
"christian",9,2.05949656750572
"nazi",2,0.45766590389016
"crime",1,0.22883295194508
"prison",1,0.22883295194508
"air",2,0.45766590389016
"cleanli",7,1.60183066361556
"gold",2,0.45766590389016
"job",1,0.22883295194508
"mountain",1,0.22883295194508
"slaveri",3,0.68649885583524
"stream",1,0.22883295194508
"tire",1,0.22883295194508
"england",1,0.22883295194508
"new",7,1.60183066361556
"perfect",8,1.83066361556064
"tarnish",3,0.68649885583524
"church",24,5.49199084668192
"molest",3,0.68649885583524
"priest",2,0.45766590389016
"prostitut",5,1.1441647597254
"look",2,0.45766590389016
"lost",5,1.1441647597254
"bibl",5,1.1441647597254
"jesus",12,2.74599542334096
"john",1,0.22883295194508
"club",1,0.22883295194508
"sexism",4,0.91533180778032
"strip",1,0.22883295194508
"hard",1,0.22883295194508
"true",5,1.1441647597254
"leav",1,0.22883295194508
"nightstand",1,0.22883295194508
"week",1,0.22883295194508
"yogurt",1,0.22883295194508
"minor",1,0.22883295194508
"teenag",3,0.68649885583524
"porn",1,0.22883295194508
"chastiti",8,1.83066361556064
"manipul",1,0.22883295194508
"pain",4,0.91533180778032
"qualiti",3,0.68649885583524
"bare",1,0.22883295194508
"barren",1,0.22883295194508
"clear",8,1.83066361556064
"decay",2,0.45766590389016
"desol",1,0.22883295194508
"die",1,0.22883295194508
"pretti",1,0.22883295194508
"teas",1,0.22883295194508
"dove",6,1.37299771167048
"marriag",4,0.91533180778032
"rape",8,1.83066361556064
"disgrac",4,0.91533180778032
"honor",3,0.68649885583524
"unclean",10,2.2883295194508
"dishonest",2,0.45766590389016
"mari",7,1.60183066361556
"mother",4,0.91533180778032
"unkind",1,0.22883295194508
"decenc",2,0.45766590389016
"indign",4,0.91533180778032
"chastis",1,0.22883295194508
"degrad",22,5.03432494279176
"ethic",2,0.45766590389016
"goodygoodi",1,0.22883295194508
"mind",1,0.22883295194508
"puriti",18,4.11899313501144
"repercuss",1,0.22883295194508
"rule",1,0.22883295194508
"saint",4,0.91533180778032
"bliss",1,0.22883295194508
"filthi",2,0.45766590389016
"sin",12,2.74599542334096
"harass",1,0.22883295194508
"haze",1,0.22883295194508
"beauti",3,0.68649885583524
"prejudic",3,0.68649885583524
"cell",1,0.22883295194508
"empathet",1,0.22883295194508
"kind",5,1.1441647597254
"unfair",3,0.68649885583524
"cleans",2,0.45766590389016
"heaven",5,1.1441647597254
"hooker",1,0.22883295194508
"promis",4,0.91533180778032
"stay",1,0.22883295194508
"disintegr",1,0.22883295194508
"worn",3,0.68649885583524
"gay",1,0.22883295194508
"angri",1,0.22883295194508
"call",1,0.22883295194508
"name",2,0.45766590389016
"yell",1,0.22883295194508
"careless",1,0.22883295194508
"free",1,0.22883295194508
"satan",1,0.22883295194508
"age",1,0.22883295194508
"environ",2,0.45766590389016
"natur",4,0.91533180778032
"respect",6,1.37299771167048
"black",8,1.83066361556064
"religi",7,1.60183066361556
"littl",1,0.22883295194508
"treatment",1,0.22883295194508
